"gender","Dependents","tenure","PhoneService","MultipleLines","InternetService","StreamingTV","StreamingMovies","Contract","PaymentMethod","MonthlyCharges","TotalCharges","DailyCharges","Churn"
"Male","No",9,"Yes","No","Fiber optic","No",NA,NA,"Electronic check",73.8,1415.425,14.76,"No"
"Male","No",3,"Yes","Yes","Fiber optic","No","No","Month-to-month","Electronic check",76.95,228.4,15.39,"Yes"
"Male","No",31,"Yes","Yes","DSL","Yes","No","Month-to-month",NA,59.05,1882.8,11.81,"No"
"Male","Yes",53,"Yes","Yes","DSL","Yes","Yes","Month-to-month","Electronic check",85.7,4616.1,17.14,"No"
"Female","No",12,"Yes","Yes","No","No internet service","No internet service","Month-to-month","Electronic check",25.7,1415.425,5.14,"No"
"Female","No",1,"Yes","No",NA,"No","No","Month-to-month","Mailed check",70.3,44,14.05,"No"
"Female","Yes",23,"No","No phone service","DSL","No","No","Two year","Mailed check",34.6,1415.425,6.92,"No"
"Male","Yes",62,"Yes","Yes","Fiber optic","Yes","Yes","One year","Electronic check",110.8,6840.95,22.16,"No"
"Female","No",29,"Yes","No",NA,"Yes","Yes","Month-to-month","Credit card (automatic)",87.8,2621.75,17.56,"No"
"Female","No",8,NA,"No","DSL","No","No","One year","Bank transfer (automatic)",58.2,469.25,11.64,"No"
"Male","No",1,"Yes","No","No","No internet service","No internet service","Month-to-month","Credit card (automatic)",20.55,20.55,4.11,"No"
"Female","No",20,"Yes",NA,"DSL","No","Yes","Month-to-month","Credit card (automatic)",68.9,1370.35,13.78,"No"
"Male","No",57,"Yes","No",NA,"No","No","Month-to-month","Electronic check",55.7,3171.6,11.14,"No"
"Female","No",38,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",105,4026.4,21,"Yes"
"Male","No",72,"Yes","Yes",NA,"Yes","Yes","Two year","Electronic check",85.25,6083.1,17.05,NA
"Male","Yes",71,"Yes","Yes","DSL","Yes",NA,"Two year",NA,90.35,6325.25,18.07,"No"
"Male","Yes",32,NA,"No",NA,"Yes",NA,"Month-to-month","Electronic check",96.2,3183.4,19.24,"Yes"
"Female","No",72,"Yes",NA,"DSL",NA,"Yes","Two year","Credit card (automatic)",73,5265.2,14.6,"No"
"Male","No",9,"Yes","No","Fiber optic","Yes","Yes","Month-to-month","Electronic check",70.3,811.65,14.05,"No"
"Male","No",11,NA,NA,"Fiber optic","No","No","Month-to-month",NA,73.85,926.25,14.77,"Yes"
"Male","Yes",54,"Yes",NA,NA,"No","No",NA,NA,55,3092.65,11,"Yes"
"Female","No",1,"Yes","Yes",NA,"Yes",NA,"Month-to-month",NA,70.3,95.65,14.05,"Yes"
"Male","Yes",1,"Yes",NA,"No","No internet service","No internet service",NA,"Mailed check",19.55,19.55,3.91,"No"
"Male","No",44,"Yes","Yes","DSL","Yes","Yes","One year","Mailed check",80.85,2204.35,16.17,"No"
"Female","No",26,"Yes","No","DSL","No","Yes","One year","Mailed check",60.7,1415.425,12.14,"No"
"Male","No",1,NA,"No","DSL","No","No",NA,"Bank transfer (automatic)",70.3,45.1,14.05,"Yes"
"Male","No",1,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",71.55,71.55,14.31,"Yes"
"Female","No",46,"Yes","No","DSL","No","Yes","One year",NA,55.65,2688.85,11.13,"No"
"Female","No",43,"Yes","Yes","Fiber optic",NA,"Yes","One year","Electronic check",107.55,4533.9,21.51,"Yes"
"Male","No",64,"Yes","Yes","DSL","No",NA,"Two year","Bank transfer (automatic)",67.8,4804.65,13.56,"No"
"Female","Yes",21,"Yes","No",NA,"No","Yes","One year",NA,64.85,1415.425,12.97,"No"
"Female","No",22,NA,"No","Fiber optic","No","Yes",NA,"Mailed check",84.3,1415.425,16.86,"Yes"
"Male","No",24,"Yes","No","DSL","No","No","Month-to-month","Mailed check",49.7,1415.425,9.94,"No"
"Male","Yes",59,"Yes","No","DSL","Yes","Yes","One year","Credit card (automatic)",70.3,4541.9,14.05,"No"
"Male","No",1,"Yes",NA,"DSL","No","No",NA,"Electronic check",45.1,1415.425,9.02,"Yes"
"Female","No",48,"Yes","No","Fiber optic","Yes",NA,NA,"Credit card (automatic)",102.5,1415.425,20.5,"No"
"Female","Yes",53,"Yes","Yes","DSL","Yes","Yes","One year","Electronic check",84.6,4449.75,16.92,"No"
"Female","No",56,"Yes","No","DSL",NA,"Yes","Two year","Credit card (automatic)",72.6,4084.35,14.52,"No"
"Male","No",7,"Yes","Yes",NA,"Yes","No","Month-to-month","Credit card (automatic)",89.35,631.85,17.87,NA
"Male","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Bank transfer (automatic)",114.95,1415.425,22.99,"No"
"Female","Yes",12,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",20.25,401.95,4.05,"No"
"Male","Yes",64,"Yes","Yes","No","No internet service","No internet service","Two year",NA,24.45,1415.425,4.89,"No"
"Male","No",23,"Yes","No","No","No internet service","No internet service","One year",NA,20.75,485.2,4.15,"No"
"Female","No",12,"Yes","No","Fiber optic","Yes","Yes","Month-to-month","Electronic check",95.1,1415.425,19.02,"Yes"
"Male","No",37,NA,NA,"Fiber optic","Yes","Yes",NA,"Credit card (automatic)",96.1,1415.425,19.22,"No"
"Male","Yes",1,"Yes","No","No","No internet service","No internet service","Month-to-month","Bank transfer (automatic)",20.15,20.15,4.03,"No"
"Female","Yes",49,"Yes","No","DSL","No","No","Month-to-month","Bank transfer (automatic)",70.3,3024.15,14.05,"No"
"Male","Yes",36,NA,"No","DSL","No","Yes","One year",NA,63.7,2188.5,12.74,"No"
"Male","Yes",64,"Yes","Yes","No","No internet service","No internet service","Two year",NA,24.85,1901,4.97,"No"
"Male","No",35,NA,"No","No","No internet service","No internet service","Two year","Bank transfer (automatic)",21.45,705.45,4.29,"No"
"Male","No",4,"Yes","Yes","Fiber optic",NA,"No","Month-to-month","Electronic check",90.65,367.95,18.13,"No"
"Male","No",27,NA,"No","No","No internet service","No internet service","Two year","Credit card (automatic)",19.85,470,3.97,NA
"Female","Yes",44,"Yes",NA,"DSL","Yes","Yes","One year","Credit card (automatic)",74.7,3187.65,14.94,"No"
"Male","No",30,"Yes","No","DSL",NA,"No","Month-to-month","Bank transfer (automatic)",50.4,1527.5,10.08,"Yes"
"Female","Yes",39,"Yes","No","Fiber optic","Yes","No","Month-to-month","Mailed check",86.3,3266,17.26,"Yes"
"Female","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Electronic check",115.5,8425.15,23.1,"No"
"Male","No",12,"Yes","Yes","Fiber optic","No","No","Month-to-month","Bank transfer (automatic)",72.8,3249.4,14.56,"No"
"Male","Yes",52,"Yes","No","No","No internet service","No internet service",NA,NA,19.65,928.4,3.93,NA
"Male","Yes",55,"Yes","No","No","No internet service","No internet service",NA,"Credit card (automatic)",19.4,1083,3.88,"No"
"Female","Yes",59,"Yes","No",NA,"Yes",NA,"Two year","Electronic check",70.3,5186,14.05,"No"
"Female","Yes",26,"Yes","No","Fiber optic","Yes","Yes","Month-to-month",NA,90.8,2361.8,18.16,NA
"Male","No",41,"Yes","Yes","No","No internet service","No internet service",NA,NA,25.25,996.45,5.05,"No"
"Male","No",13,NA,"No","No","No internet service","No internet service","One year","Mailed check",19.95,257,3.99,"No"
"Male","No",2,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",19.75,39.3,3.95,"No"
"Male","No",23,"No","No phone service","DSL","No","Yes","Month-to-month","Bank transfer (automatic)",34.65,768.45,6.93,NA
"Female","No",44,"Yes","Yes","DSL","Yes","Yes","One year","Credit card (automatic)",80.55,4847.05,16.11,"No"
"Female","No",71,"Yes","Yes","Fiber optic","Yes",NA,"One year","Credit card (automatic)",104.1,7412.25,20.82,"No"
"Male","No",1,"Yes","No","Fiber optic",NA,"No","Month-to-month",NA,70.25,70.25,14.05,"No"
"Female","No",2,"Yes","No","DSL","Yes","Yes","Month-to-month","Electronic check",70.75,146.9,14.15,"Yes"
"Female","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Credit card (automatic)",116.4,1415.425,23.28,"No"
"Female","No",71,"Yes","Yes","No","No internet service","No internet service","Two year",NA,70.3,1672.1,14.05,"No"
"Male","No",69,"No","No phone service","DSL",NA,"Yes","One year",NA,70.3,4263.4,14.05,"No"
"Female","No",12,"Yes",NA,"Fiber optic","Yes",NA,"Month-to-month",NA,100.5,2599.95,20.1,"No"
"Female","No",2,"Yes","No","Fiber optic","Yes","No","Month-to-month","Electronic check",80.65,144.15,16.13,"Yes"
"Male","No",51,"No","No phone service","DSL","No","No","Month-to-month","Credit card (automatic)",29.45,1459.35,5.89,"No"
"Male","No",21,"Yes","No","DSL","Yes","No","Month-to-month","Bank transfer (automatic)",54.6,1125.2,10.92,NA
"Female","Yes",2,"Yes","Yes","Fiber optic","No",NA,"Month-to-month","Electronic check",70.3,179.25,14.05,"Yes"
"Male","No",66,"Yes","Yes","Fiber optic","Yes","Yes","One year","Bank transfer (automatic)",114.3,7383.7,22.86,"No"
"Female","No",5,"Yes","Yes","DSL","No","Yes","Month-to-month","Electronic check",64,370.25,12.8,NA
"Female","No",8,"Yes","Yes","Fiber optic","No","Yes","Month-to-month","Electronic check",70.3,1415.425,14.05,NA
"Female","Yes",14,"Yes","No","Fiber optic",NA,"Yes","Month-to-month","Bank transfer (automatic)",80.9,1152.8,16.18,"No"
"Female","No",23,"Yes",NA,"No","No internet service","No internet service","Month-to-month","Mailed check",19.5,470.2,3.9,"No"
"Female","No",70,"Yes",NA,"DSL","Yes","No","One year","Bank transfer (automatic)",79.4,5528.9,15.88,"No"
"Male","No",11,"Yes",NA,"No","No internet service","No internet service",NA,"Credit card (automatic)",70.3,237.3,14.05,NA
"Male","No",56,"Yes","Yes","DSL","No","Yes","Two year",NA,75.85,4261.2,15.17,"No"
"Male","Yes",39,"Yes","Yes","No","No internet service","No internet service","One year","Bank transfer (automatic)",25.45,958.45,5.09,"No"
"Male","No",57,"Yes","No","DSL","Yes","Yes","Two year","Bank transfer (automatic)",74.35,4317.35,14.87,"No"
"Female","Yes",58,"Yes","Yes","No","No internet service","No internet service","One year","Credit card (automatic)",24.5,1497.9,4.9,"No"
"Female","No",69,"Yes","No","Fiber optic","No","Yes","One year","Credit card (automatic)",87.3,1415.425,17.46,NA
"Female","Yes",43,"No","No phone service","DSL","Yes","Yes",NA,"Credit card (automatic)",70.3,2640.55,14.05,"No"
"Female","No",17,"Yes","No","DSL",NA,NA,"One year",NA,79.85,1387.35,15.97,"No"
"Female","No",42,"Yes",NA,"Fiber optic",NA,NA,"Month-to-month",NA,84.3,3588.4,16.86,"Yes"
"Male","No",56,"Yes","Yes","Fiber optic","Yes",NA,"One year","Credit card (automatic)",100.3,1415.425,20.06,NA
"Female","No",22,"Yes","No","DSL","No","Yes","Month-to-month","Mailed check",69.75,1545.4,13.95,"No"
"Female","No",12,"Yes","No","Fiber optic",NA,"No","Month-to-month","Mailed check",80.3,526.7,16.06,NA
"Female","Yes",11,"No","No phone service","DSL","No","No","Month-to-month","Electronic check",25.2,321.05,5.04,"No"
"Female","Yes",1,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",19.65,19.65,3.93,"No"
"Male","Yes",40,"Yes","No","No","No internet service","No internet service","Two year","Mailed check",19.6,808.95,3.92,"No"
"Male","No",43,"Yes","Yes","DSL","No","No","Month-to-month","Bank transfer (automatic)",66.25,2907.35,13.25,"No"
"Female","Yes",33,"Yes","No",NA,"No","No","One year","Mailed check",51.45,1758.9,10.29,NA
"Male","No",11,"No","No phone service","DSL","Yes",NA,"One year","Electronic check",41.6,1415.425,8.32,"Yes"
"Male","No",52,"Yes","No","No","No internet service","No","One year","Electronic check",91.25,1415.425,18.25,NA
"Female","No",15,"Yes","Yes","Fiber optic","Yes","Yes",NA,"Electronic check",100.15,1415,20.03,"No"
"Female","No",1,"No","No phone service","DSL","No","No","Month-to-month",NA,24.8,24.8,4.96,"Yes"
"Male","No",1,"Yes","No","DSL","No","No",NA,"Credit card (automatic)",46.2,46.2,9.24,"Yes"
"Male","No",23,"Yes",NA,"Fiber optic","No","Yes","Month-to-month","Electronic check",90,2024.1,18,"No"
"Female","No",20,"Yes","Yes","Fiber optic","No","No",NA,NA,82.4,1592.35,16.48,"Yes"
"Male","No",17,"Yes","No","No","No internet service","No internet service","One year","Mailed check",20.5,365.8,4.1,"No"
"Female","Yes",23,"Yes","No",NA,"No","No","Month-to-month",NA,83.8,1900.25,16.76,"Yes"
"Female","Yes",72,"Yes","Yes","DSL",NA,"Yes",NA,"Credit card (automatic)",84.7,1415.425,16.94,"No"
"Male","No",3,"Yes","No","DSL","Yes",NA,"Month-to-month","Credit card (automatic)",53.4,188.7,10.68,"Yes"
"Female","No",12,"Yes","No","No","No internet service","No internet service","Month-to-month","Bank transfer (automatic)",19.5,146.3,3.9,"Yes"
"Female","No",15,"Yes",NA,"No","No internet service","No internet service","One year","Credit card (automatic)",20.1,302.45,4.02,"No"
"Female","No",55,"Yes","Yes",NA,"Yes","Yes","One year","Electronic check",90.15,4916.95,18.03,"No"
"Female","Yes",54,"Yes","Yes","DSL","No","No","Two year","Credit card (automatic)",65.65,3566.7,13.13,"No"
"Female","No",1,"Yes","Yes","Fiber optic","No","No","Month-to-month","Electronic check",77.15,77.15,15.43,"Yes"
"Female","No",12,"Yes",NA,"DSL","No","No","Month-to-month","Electronic check",49.4,611.65,9.88,"No"
"Male","Yes",22,NA,NA,"Fiber optic","Yes","Yes","Month-to-month","Electronic check",96.7,2082.95,19.34,"Yes"
"Female","No",1,"Yes","No","Fiber optic","No","No","Month-to-month","Mailed check",70.7,70.7,14.14,"No"
"Female","Yes",44,"Yes","Yes","Fiber optic","No","Yes","One year","Electronic check",94.4,4295.35,18.88,"No"
"Female","No",55,"Yes","No","DSL",NA,NA,"One year","Bank transfer (automatic)",45.05,1415.425,9.01,"No"
"Female","Yes",70,"Yes",NA,"No","No internet service","No internet service","Two year",NA,24.7,1685.9,4.94,"No"
"Male","No",50,"No","No phone service","DSL","No","No","Month-to-month","Mailed check",35,1415.425,7,"No"
"Female","No",12,"Yes","Yes",NA,"Yes","Yes","Month-to-month","Electronic check",105.3,1415.425,21.06,"No"
"Male","Yes",2,"Yes","No","Fiber optic","Yes","No",NA,"Electronic check",79.95,174.45,15.99,"No"
"Female","No",8,"Yes",NA,"DSL","No","No","Month-to-month","Mailed check",70.3,369.3,14.05,"No"
"Male","Yes",72,"Yes",NA,"No","No internet service","No internet service","Two year",NA,24.3,1643.25,4.86,"No"
"Male","Yes",72,"Yes","Yes","Fiber optic","No",NA,"Two year","Credit card (automatic)",84.5,6130.85,16.9,"No"
"Female","No",12,"Yes","No","DSL","No","No","Month-to-month","Bank transfer (automatic)",45,524.35,9,"No"
"Female","No",2,"Yes","Yes","Fiber optic","Yes","No","Month-to-month","Electronic check",84.05,1415.425,16.81,"No"
"Male","No",45,"Yes",NA,"DSL","Yes","Yes",NA,"Bank transfer (automatic)",78.8,1415.425,15.76,"No"
"Female","No",33,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",110.45,3655.45,22.09,"Yes"
"Male","No",72,"Yes","Yes","DSL","Yes","Yes","Two year","Credit card (automatic)",90.8,6397.6,18.16,"No"
"Male","No",12,"Yes","No","No","No internet service","No internet service","Month-to-month",NA,21.1,21.1,4.22,"No"
"Male","Yes",20,"Yes","No","DSL","No","Yes","One year","Mailed check",70.3,1274.45,14.05,NA
"Male","No",51,"Yes","No",NA,"Yes","Yes","Two year","Credit card (automatic)",83.25,4089.45,16.65,"No"
"Female","Yes",19,"Yes","No","DSL","No",NA,"Month-to-month","Electronic check",70.3,1297.8,14.05,NA
"Male","Yes",7,"Yes",NA,"No","No internet service","No internet service","One year","Mailed check",20.65,150,4.13,"No"
"Male","No",1,"Yes","No","DSL","No","No","Month-to-month","Mailed check",48.55,48.55,9.71,"Yes"
"Male","No",23,"Yes","Yes","Fiber optic",NA,"Yes",NA,"Electronic check",104.45,2184.85,20.89,NA
"Female","No",12,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",19.7,220.35,3.94,"No"
"Male","No",72,"Yes","Yes","Fiber optic","Yes","Yes",NA,"Credit card (automatic)",116.95,8594.4,23.39,"No"
"Male","Yes",60,"Yes","Yes","Fiber optic","No","No","Month-to-month","Electronic check",80.95,10000,16.19,"No"
"Female","Yes",22,"Yes","No","No","No internet service","No internet service","Month-to-month","Bank transfer (automatic)",19.05,454.05,3.81,"No"
"Male","Yes",19,"Yes","No","No","No internet service","No internet service","One year","Mailed check",19.9,357.7,3.98,"No"
"Male","No",70,"Yes",NA,"Fiber optic","Yes","Yes","One year","Credit card (automatic)",115.65,7968.85,23.13,"Yes"
"Female","No",72,"Yes","Yes","No","No internet service","No internet service","Two year","Credit card (automatic)",24.15,1776.45,4.83,"No"
"Male","No",68,"Yes","Yes","No","No internet service","No internet service","Two year","Credit card (automatic)",25.05,1629.2,5.01,"No"
"Male","No",8,NA,"No","DSL",NA,"No","Month-to-month","Electronic check",65.45,554.45,13.09,"No"
"Female","Yes",71,"Yes","Yes","Fiber optic","No","Yes","Two year","Electronic check",100.45,7159.7,20.09,"No"
"Female","Yes",12,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",19.35,275.9,3.87,"No"
"Male","No",20,"Yes","No","Fiber optic","Yes","Yes","Month-to-month",NA,89.95,1648.45,17.99,"No"
"Female","No",26,"Yes","No","Fiber optic","No","Yes","Month-to-month","Electronic check",84.95,2169.75,16.99,"Yes"
"Male","Yes",12,"No","No phone service","DSL","No","No","Month-to-month","Mailed check",35.5,432.25,7.1,NA
"Female","No",12,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",20.25,20.25,4.05,"No"
"Male","Yes",64,"Yes","Yes","No","No internet service","No internet service","Two year",NA,26.3,1245.05,5.26,"No"
"Female","No",3,"Yes","No","DSL","No","No",NA,"Electronic check",44.6,122.7,8.92,"No"
"Female","Yes",60,"No","No phone service","DSL","Yes","Yes","Two year","Credit card (automatic)",59.85,1415.425,11.97,"No"
"Female","No",16,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",96.15,1529.2,19.23,"Yes"
"Male","No",13,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Mailed check",98.15,1230.25,19.63,"Yes"
"Female","No",44,"Yes","Yes","Fiber optic","Yes","Yes","One year","Credit card (automatic)",108.05,7118.9,21.61,"No"
"Female","No",41,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",104.4,4133.95,20.88,"No"
"Female","No",12,"Yes","Yes","Fiber optic","Yes","No","Month-to-month","Electronic check",98.1,1060.2,19.62,"Yes"
"Female","No",1,"No","No phone service","DSL","No","No","Month-to-month","Electronic check",70.3,29.85,14.05,"No"
"Female","No",27,NA,"No","No","No internet service","No internet service","Two year","Bank transfer (automatic)",70.3,1415.425,14.05,"No"
"Male","No",12,"Yes","No","Fiber optic","No","No","Month-to-month","Electronic check",70.3,572.85,14.05,"No"
"Female","No",70,"Yes","Yes","No","No internet service","No internet service","Two year","Bank transfer (automatic)",26,2006.95,5.2,"No"
"Female","No",44,NA,"No","No","No internet service","No internet service","One year","Mailed check",20.35,1267,4.07,"No"
"Male","Yes",8,"No","No phone service","DSL","No","Yes","Two year","Mailed check",44.55,343.45,8.91,"No"
"Female","No",34,"Yes","No","DSL","No","Yes","One year","Electronic check",64.35,2053.05,12.87,"No"
"Female","No",24,"No","No phone service","DSL","No","Yes","Month-to-month","Credit card (automatic)",40.65,1415.425,8.13,"Yes"
"Female","No",29,"No","No phone service","DSL","No",NA,NA,"Mailed check",33.55,1445.3,6.71,"Yes"
"Female","No",12,"Yes","Yes","DSL","No","No","Month-to-month",NA,61.65,713.75,12.33,"Yes"
"Female","No",48,"Yes","Yes","DSL","Yes","No","One year","Bank transfer (automatic)",73.85,3581.4,14.77,"No"
"Male","No",2,"Yes","No","No","No internet service","No internet service","Month-to-month","Credit card (automatic)",19.9,33.7,3.98,"No"
"Male","No",7,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",18.95,130.55,3.79,"No"
"Female","No",27,"Yes","Yes",NA,"Yes","Yes","Month-to-month","Electronic check",83.85,2310.2,16.77,"No"
"Female","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes",NA,NA,115.6,1415.425,23.12,"No"
"Male","No",20,"No","No phone service","DSL","Yes","No","Month-to-month",NA,70.3,1165.55,14.05,"No"
"Male","Yes",2,"Yes","No","DSL","No","Yes","Month-to-month","Electronic check",55.3,108.65,11.06,"No"
"Male","Yes",12,"Yes","Yes","Fiber optic",NA,"Yes","Month-to-month","Electronic check",101.7,364.55,20.34,NA
"Male","No",5,"Yes","Yes","Fiber optic","No","No","Month-to-month","Electronic check",78.75,412.1,15.75,"Yes"
"Male","No",11,"Yes","No","Fiber optic","No","Yes","Month-to-month","Credit card (automatic)",79.15,827.7,15.83,"No"
"Female","No",34,"No","No phone service","DSL","No","No","Month-to-month","Bank transfer (automatic)",70.3,852.7,14.05,"No"
"Male","No",10,"Yes","No","Fiber optic","No","No","Month-to-month","Electronic check",70.3,738.2,14.06,"Yes"
"Male","No",71,"Yes",NA,"No","No internet service","No internet service","Two year","Bank transfer (automatic)",24.75,1836.9,4.95,"No"
