"gender","Dependents","tenure","PhoneService","InternetService","StreamingTV","Contract","PaymentMethod","MonthlyCharges","Churn"
"Female","Yes",49,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",70.3,"No"
"Male","Yes",36,"Yes","DSL","No","One year","Electronic check",63.7,"No"
"Male","Yes",64,"Yes","No","No internet service","Two year","Electronic check",24.85,"No"
"Male","No",35,"Yes","No","No internet service","Two year","Bank transfer (automatic)",21.45,"No"
"Male","No",4,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",90.65,"No"
"Female","Yes",44,"Yes","DSL","Yes","One year","Credit card (automatic)",74.7,"No"
"Male","No",30,"Yes","DSL","Yes","Month-to-month","Bank transfer (automatic)",50.4,"Yes"
"Female","Yes",39,"Yes","Fiber optic","Yes","Month-to-month","Mailed check",86.3,"Yes"
"Female","No",72,"Yes","Fiber optic","Yes","Two year","Electronic check",115.5,"No"
"Male","No",12,"Yes","Fiber optic","No","Month-to-month","Bank transfer (automatic)",72.8,"No"
"Male","Yes",55,"Yes","No","No internet service","Month-to-month","Credit card (automatic)",19.4,"No"
"Female","Yes",59,"Yes","DSL","Yes","Two year","Electronic check",70.3,"No"
"Male","No",41,"Yes","No","No internet service","Month-to-month","Electronic check",25.25,"No"
"Male","No",13,"Yes","No","No internet service","One year","Mailed check",19.95,"No"
"Male","No",2,"Yes","No","No internet service","Month-to-month","Mailed check",19.75,"No"
"Female","No",44,"Yes","DSL","Yes","One year","Credit card (automatic)",80.55,"No"
"Female","No",71,"Yes","Fiber optic","Yes","One year","Credit card (automatic)",104.1,"No"
"Male","No",1,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",70.25,"No"
"Female","No",2,"Yes","DSL","Yes","Month-to-month","Electronic check",70.75,"Yes"
"Female","Yes",72,"Yes","Fiber optic","Yes","Two year","Credit card (automatic)",116.4,"No"
"Female","No",71,"Yes","No","No internet service","Two year","Electronic check",70.3,"No"
"Male","No",69,"No","DSL","Yes","One year","Electronic check",70.3,"No"
"Female","No",12,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",100.5,"No"
"Female","No",2,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",80.65,"Yes"
"Male","No",51,"No","DSL","No","Month-to-month","Credit card (automatic)",29.45,"No"
"Female","Yes",2,"Yes","Fiber optic","No","Month-to-month","Electronic check",70.3,"Yes"
"Male","No",66,"Yes","Fiber optic","Yes","One year","Bank transfer (automatic)",114.3,"No"
"Female","Yes",14,"Yes","Fiber optic","Yes","Month-to-month","Bank transfer (automatic)",80.9,"No"
"Female","No",23,"Yes","No","No internet service","Month-to-month","Mailed check",19.5,"No"
"Female","No",70,"Yes","DSL","Yes","One year","Bank transfer (automatic)",79.4,"No"
"Male","No",56,"Yes","DSL","No","Two year","Electronic check",75.85,"No"
"Male","Yes",39,"Yes","No","No internet service","One year","Bank transfer (automatic)",25.45,"No"
"Male","No",57,"Yes","DSL","Yes","Two year","Bank transfer (automatic)",74.35,"No"
"Female","Yes",58,"Yes","No","No internet service","One year","Credit card (automatic)",24.5,"No"
"Female","Yes",43,"No","DSL","Yes","Month-to-month","Credit card (automatic)",70.3,"No"
"Female","No",17,"Yes","DSL","Yes","One year","Electronic check",79.85,"No"
"Female","No",42,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",84.3,"Yes"
"Female","No",22,"Yes","DSL","No","Month-to-month","Mailed check",69.75,"No"
"Female","Yes",11,"No","DSL","No","Month-to-month","Electronic check",25.2,"No"
"Female","Yes",1,"Yes","No","No internet service","Month-to-month","Mailed check",19.65,"No"
"Male","Yes",40,"Yes","No","No internet service","Two year","Mailed check",19.6,"No"
"Male","No",43,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",66.25,"No"
"Male","No",11,"No","DSL","Yes","One year","Electronic check",41.6,"Yes"
"Female","No",15,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",100.15,"No"
"Female","No",1,"No","DSL","No","Month-to-month","Electronic check",24.8,"Yes"
"Male","No",1,"Yes","DSL","No","Month-to-month","Credit card (automatic)",46.2,"Yes"
"Male","No",23,"Yes","Fiber optic","No","Month-to-month","Electronic check",90,"No"
"Female","No",20,"Yes","Fiber optic","No","Month-to-month","Electronic check",82.4,"Yes"
"Male","No",17,"Yes","No","No internet service","One year","Mailed check",20.5,"No"
"Female","Yes",23,"Yes","DSL","No","Month-to-month","Electronic check",83.8,"Yes"
"Female","Yes",72,"Yes","DSL","Yes","Month-to-month","Credit card (automatic)",84.7,"No"
"Male","No",3,"Yes","DSL","Yes","Month-to-month","Credit card (automatic)",53.4,"Yes"
"Female","No",12,"Yes","No","No internet service","Month-to-month","Bank transfer (automatic)",19.5,"Yes"
"Female","No",15,"Yes","No","No internet service","One year","Credit card (automatic)",20.1,"No"
"Female","No",55,"Yes","DSL","Yes","One year","Electronic check",90.15,"No"
"Female","Yes",54,"Yes","DSL","No","Two year","Credit card (automatic)",65.65,"No"
"Female","No",1,"Yes","Fiber optic","No","Month-to-month","Electronic check",77.15,"Yes"
"Female","No",12,"Yes","DSL","No","Month-to-month","Electronic check",49.4,"No"
"Male","Yes",22,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",96.7,"Yes"
"Female","No",1,"Yes","Fiber optic","No","Month-to-month","Mailed check",70.7,"No"
"Female","Yes",44,"Yes","Fiber optic","No","One year","Electronic check",94.4,"No"
"Female","No",55,"Yes","DSL","Yes","One year","Bank transfer (automatic)",45.05,"No"
"Female","Yes",70,"Yes","No","No internet service","Two year","Electronic check",24.7,"No"
"Male","No",50,"No","DSL","No","Month-to-month","Mailed check",35,"No"
"Female","No",12,"Yes","DSL","Yes","Month-to-month","Electronic check",105.3,"No"
"Male","Yes",2,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",79.95,"No"
"Female","No",8,"Yes","DSL","No","Month-to-month","Mailed check",70.3,"No"
"Male","Yes",72,"Yes","No","No internet service","Two year","Electronic check",24.3,"No"
"Male","Yes",72,"Yes","Fiber optic","No","Two year","Credit card (automatic)",84.5,"No"
"Female","No",12,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",45,"No"
"Female","No",2,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",84.05,"No"
"Male","No",45,"Yes","DSL","Yes","Month-to-month","Bank transfer (automatic)",78.8,"No"
"Female","No",33,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",110.45,"Yes"
"Male","No",72,"Yes","DSL","Yes","Two year","Credit card (automatic)",90.8,"No"
"Male","No",12,"Yes","No","No internet service","Month-to-month","Electronic check",21.1,"No"
"Male","No",51,"Yes","DSL","Yes","Two year","Credit card (automatic)",83.25,"No"
"Male","Yes",7,"Yes","No","No internet service","One year","Mailed check",20.65,"No"
"Male","No",1,"Yes","DSL","No","Month-to-month","Mailed check",48.55,"Yes"
"Female","No",12,"Yes","No","No internet service","Month-to-month","Mailed check",19.7,"No"
"Male","No",72,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",116.95,"No"
"Male","Yes",60,"Yes","Fiber optic","No","Month-to-month","Electronic check",80.95,"No"
"Female","Yes",22,"Yes","No","No internet service","Month-to-month","Bank transfer (automatic)",19.05,"No"
"Male","Yes",19,"Yes","No","No internet service","One year","Mailed check",19.9,"No"
"Male","No",70,"Yes","Fiber optic","Yes","One year","Credit card (automatic)",115.65,"Yes"
"Female","No",72,"Yes","No","No internet service","Two year","Credit card (automatic)",24.15,"No"
"Male","No",68,"Yes","No","No internet service","Two year","Credit card (automatic)",25.05,"No"
"Male","No",8,"Yes","DSL","Yes","Month-to-month","Electronic check",65.45,"No"
"Female","Yes",71,"Yes","Fiber optic","No","Two year","Electronic check",100.45,"No"
"Female","Yes",12,"Yes","No","No internet service","Month-to-month","Mailed check",19.35,"No"
"Male","No",20,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",89.95,"No"
"Female","No",26,"Yes","Fiber optic","No","Month-to-month","Electronic check",84.95,"Yes"
"Female","No",12,"Yes","No","No internet service","Month-to-month","Mailed check",20.25,"No"
"Male","Yes",64,"Yes","No","No internet service","Two year","Electronic check",26.3,"No"
"Female","No",3,"Yes","DSL","No","Month-to-month","Electronic check",44.6,"No"
"Female","Yes",60,"No","DSL","Yes","Two year","Credit card (automatic)",59.85,"No"
"Female","No",16,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",96.15,"Yes"
"Male","No",13,"Yes","Fiber optic","Yes","Month-to-month","Mailed check",98.15,"Yes"
"Female","No",44,"Yes","Fiber optic","Yes","One year","Credit card (automatic)",108.05,"No"
"Female","No",41,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",104.4,"No"
"Female","No",12,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",98.1,"Yes"
"Female","No",1,"No","DSL","No","Month-to-month","Electronic check",70.3,"No"
"Female","No",27,"Yes","No","No internet service","Two year","Bank transfer (automatic)",70.3,"No"
"Male","No",12,"Yes","Fiber optic","No","Month-to-month","Electronic check",70.3,"No"
"Female","No",70,"Yes","No","No internet service","Two year","Bank transfer (automatic)",26,"No"
"Female","No",44,"Yes","No","No internet service","One year","Mailed check",20.35,"No"
"Male","Yes",8,"No","DSL","No","Two year","Mailed check",44.55,"No"
"Female","No",34,"Yes","DSL","No","One year","Electronic check",64.35,"No"
"Female","No",24,"No","DSL","No","Month-to-month","Credit card (automatic)",40.65,"Yes"
"Female","No",29,"No","DSL","No","Month-to-month","Mailed check",33.55,"Yes"
"Female","No",12,"Yes","DSL","No","Month-to-month","Electronic check",61.65,"Yes"
"Female","No",48,"Yes","DSL","Yes","One year","Bank transfer (automatic)",73.85,"No"
"Male","No",2,"Yes","No","No internet service","Month-to-month","Credit card (automatic)",19.9,"No"
"Male","No",7,"Yes","No","No internet service","Month-to-month","Mailed check",18.95,"No"
"Female","No",27,"Yes","DSL","Yes","Month-to-month","Electronic check",83.85,"No"
"Female","Yes",72,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",115.6,"No"
"Male","No",20,"No","DSL","Yes","Month-to-month","Electronic check",70.3,"No"
"Male","Yes",2,"Yes","DSL","No","Month-to-month","Electronic check",55.3,"No"
"Male","No",5,"Yes","Fiber optic","No","Month-to-month","Electronic check",78.75,"Yes"
"Male","No",11,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",79.15,"No"
"Female","No",34,"No","DSL","No","Month-to-month","Bank transfer (automatic)",70.3,"No"
"Male","No",10,"Yes","Fiber optic","No","Month-to-month","Electronic check",70.3,"Yes"
"Male","No",71,"Yes","No","No internet service","Two year","Bank transfer (automatic)",24.75,"No"
"Female","No",3,"Yes","No","No internet service","Month-to-month","Mailed check",19.9,"No"
"Female","Yes",57,"Yes","No","No internet service","Two year","Bank transfer (automatic)",19.75,"No"
"Female","Yes",44,"No","DSL","No","Two year","Credit card (automatic)",54.05,"No"
"Male","No",70,"Yes","DSL","Yes","Two year","Credit card (automatic)",76.95,"No"
"Male","No",51,"Yes","Fiber optic","Yes","One year","Electronic check",70.3,"Yes"
"Female","No",28,"No","DSL","No","Month-to-month","Mailed check",35.75,"No"
"Male","No",27,"Yes","No","No internet service","Two year","Bank transfer (automatic)",19.55,"No"
"Male","Yes",56,"No","DSL","No","One year","Credit card (automatic)",36.1,"No"
"Female","Yes",23,"Yes","DSL","No","One year","Mailed check",57.75,"No"
"Female","No",35,"Yes","No","No internet service","Month-to-month","Credit card (automatic)",80.05,"No"
"Female","No",4,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",70.3,"Yes"
"Male","No",46,"No","DSL","No","Month-to-month","Mailed check",38.25,"No"
"Female","Yes",7,"Yes","Fiber optic","No","Month-to-month","Bank transfer (automatic)",75.1,"Yes"
"Female","No",60,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",70.3,"Yes"
"Female","Yes",55,"Yes","No","No internet service","Month-to-month","Credit card (automatic)",20,"No"
"Female","No",23,"Yes","No","No internet service","One year","Credit card (automatic)",70.3,"No"
"Male","No",14,"Yes","DSL","Yes","Two year","Mailed check",81.95,"No"
"Male","Yes",72,"Yes","No","No internet service","Month-to-month","Mailed check",26.1,"No"
"Male","No",12,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",70.3,"No"
"Male","No",12,"Yes","Fiber optic","No","Month-to-month","Mailed check",83.8,"Yes"
"Female","Yes",62,"Yes","Fiber optic","Yes","One year","Credit card (automatic)",106.05,"No"
"Male","No",6,"Yes","Fiber optic","No","Month-to-month","Electronic check",69.1,"No"
"Female","No",9,"Yes","No","No","Month-to-month","Electronic check",76.85,"No"
"Female","No",44,"Yes","Fiber optic","Yes","One year","Bank transfer (automatic)",108.95,"No"
"Female","No",12,"No","DSL","No","Month-to-month","Mailed check",40,"Yes"
"Female","Yes",13,"No","DSL","No","Month-to-month","Electronic check",30.15,"No"
"Female","No",12,"Yes","DSL","Yes","Month-to-month","Mailed check",55.2,"Yes"
"Male","No",3,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",70.3,"Yes"
"Female","No",1,"Yes","DSL","No","Month-to-month","Mailed check",45.4,"No"
"Female","Yes",3,"Yes","Fiber optic","No","Month-to-month","Electronic check",80,"No"
"Female","Yes",29,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",66.15,"No"
"Male","No",32,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",98.85,"No"
"Female","No",17,"Yes","DSL","No","One year","Mailed check",56.1,"No"
"Female","Yes",28,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",110.85,"No"
"Female","No",3,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",75.15,"Yes"
"Female","No",59,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",93.35,"No"
"Female","No",55,"Yes","Fiber optic","Yes","Two year","Credit card (automatic)",70.3,"No"
"Male","No",5,"Yes","Fiber optic","No","Month-to-month","Mailed check",78.75,"No"
"Male","No",17,"Yes","No","No internet service","Month-to-month","Mailed check",24.8,"No"
"Female","Yes",14,"Yes","Fiber optic","No","Month-to-month","Bank transfer (automatic)",90.9,"Yes"
"Male","Yes",63,"Yes","Fiber optic","No","One year","Electronic check",91.35,"No"
"Female","No",32,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",70.3,"No"
"Male","No",11,"Yes","No","No internet service","Month-to-month","Mailed check",19.5,"No"
"Male","No",1,"Yes","DSL","No","Month-to-month","Mailed check",55.55,"No"
"Female","Yes",51,"No","DSL","Yes","One year","Bank transfer (automatic)",60.15,"No"
"Male","No",46,"Yes","Fiber optic","No","Month-to-month","Electronic check",93.7,"Yes"
"Female","No",39,"No","DSL","Yes","Month-to-month","Electronic check",50.75,"Yes"
"Female","Yes",5,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",85.75,"Yes"
"Female","No",12,"Yes","DSL","Yes","Month-to-month","Electronic check",65.25,"No"
"Female","No",63,"Yes","DSL","Yes","One year","Credit card (automatic)",79.7,"No"
"Male","Yes",25,"Yes","No","No internet service","Month-to-month","Bank transfer (automatic)",25.4,"No"
"Male","Yes",53,"No","DSL","Yes","One year","Electronic check",60.45,"Yes"
"Male","No",1,"Yes","No","No internet service","Month-to-month","Bank transfer (automatic)",20.05,"Yes"
"Male","No",32,"Yes","Fiber optic","No","Month-to-month","Electronic check",78.9,"Yes"
"Male","No",7,"Yes","Fiber optic","No","Month-to-month","Mailed check",85.2,"Yes"
"Male","No",12,"Yes","No","No internet service","Month-to-month","Bank transfer (automatic)",19.95,"No"
"Female","No",3,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",95.4,"No"
"Female","No",17,"Yes","Fiber optic","No","Month-to-month","Bank transfer (automatic)",70.5,"No"
"Male","Yes",72,"Yes","No","No internet service","Two year","Credit card (automatic)",25.55,"No"
"Female","Yes",3,"No","DSL","No","Month-to-month","Mailed check",40.3,"No"
"Male","Yes",72,"Yes","Fiber optic","Yes","Two year","Credit card (automatic)",114.05,"No"
"Female","No",9,"Yes","Fiber optic","Yes","Month-to-month","Mailed check",88.4,"No"
"Female","No",67,"Yes","DSL","No","Month-to-month","Electronic check",54.9,"No"
"Male","Yes",63,"Yes","DSL","Yes","Month-to-month","Credit card (automatic)",89.4,"No"
"Male","Yes",59,"Yes","No","No internet service","Two year","Mailed check",19.5,"No"
"Male","No",1,"Yes","Fiber optic","No","Month-to-month","Electronic check",70.3,"Yes"
"Female","Yes",69,"Yes","No","No internet service","Month-to-month","Credit card (automatic)",20.35,"No"
"Male","No",1,"Yes","DSL","No","Month-to-month","Electronic check",44.8,"No"
"Male","Yes",50,"Yes","Fiber optic","Yes","One year","Electronic check",108.25,"No"
"Female","Yes",60,"Yes","No","No internet service","Two year","Credit card (automatic)",19.25,"No"
"Male","Yes",11,"Yes","Fiber optic","No","Month-to-month","Electronic check",74.35,"Yes"
"Male","No",39,"Yes","DSL","Yes","Month-to-month","Electronic check",105.65,"Yes"
"Female","Yes",25,"Yes","No","No internet service","One year","Mailed check",20.05,"No"
"Male","No",2,"Yes","DSL","No","Month-to-month","Electronic check",82,"Yes"
"Female","No",44,"Yes","Fiber optic","Yes","One year","Electronic check",109.7,"No"
"Female","Yes",23,"Yes","No","No internet service","One year","Mailed check",20.05,"No"
"Male","No",22,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",95.1,"No"
"Male","Yes",3,"Yes","No","No internet service","Month-to-month","Mailed check",18.8,"No"
"Female","Yes",4,"Yes","DSL","No","Month-to-month","Mailed check",70.3,"Yes"
"Female","No",32,"Yes","No","No internet service","Month-to-month","Electronic check",19.4,"No"
"Female","Yes",68,"Yes","DSL","Yes","Two year","Bank transfer (automatic)",89.05,"No"
"Male","No",11,"Yes","Fiber optic","No","Month-to-month","Electronic check",74.95,"Yes"
"Female","Yes",54,"Yes","DSL","Yes","One year","Electronic check",70.7,"No"
"Female","No",12,"Yes","Fiber optic","No","Month-to-month","Electronic check",85.15,"No"
"Female","Yes",72,"Yes","Fiber optic","Yes","Two year","Mailed check",107.45,"No"
"Male","Yes",64,"No","DSL","Yes","Two year","Electronic check",60.05,"No"
"Male","No",5,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",85.4,"Yes"
"Female","No",13,"No","DSL","No","Month-to-month","Bank transfer (automatic)",30.85,"No"
"Female","No",64,"Yes","Fiber optic","Yes","Two year","Electronic check",110.15,"No"
"Female","No",12,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",91.3,"Yes"
"Male","Yes",16,"Yes","DSL","Yes","Two year","Mailed check",64.25,"No"
"Female","Yes",69,"No","DSL","Yes","Two year","Credit card (automatic)",54.95,"No"
"Female","Yes",13,"Yes","DSL","Yes","Month-to-month","Electronic check",71.95,"No"
"Female","Yes",10,"Yes","Fiber optic","No","Month-to-month","Electronic check",85.95,"No"
"Male","No",24,"Yes","DSL","No","Month-to-month","Electronic check",51.15,"No"
"Male","No",17,"Yes","No","No internet service","Month-to-month","Bank transfer (automatic)",81.5,"Yes"
"Female","No",37,"Yes","No","No internet service","Two year","Mailed check",19.8,"No"
"Female","Yes",11,"Yes","No","No internet service","One year","Mailed check",20,"No"
"Female","No",23,"Yes","DSL","No","Month-to-month","Electronic check",70.3,"No"
"Male","No",12,"Yes","DSL","Yes","Month-to-month","Mailed check",73.35,"No"
"Male","No",1,"Yes","DSL","No","Month-to-month","Electronic check",70.3,"Yes"
"Male","Yes",4,"Yes","Fiber optic","No","Month-to-month","Electronic check",70.3,"No"
"Female","No",15,"Yes","No","No internet service","Month-to-month","Credit card (automatic)",70.3,"No"
